City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,altamont,42.2068,-121.7372,11.91,35,0,5.66,US,1711923513
1,grytviken,-54.2811,-36.5092,-2.76,73,11,3.51,GS,1711923425
2,blackmans bay,-43.0167,147.3167,12.63,92,99,0.48,AU,1711923423
3,isafjordur,66.0755,-23.124,-5.75,78,98,9.89,IS,1711923425
4,contai,21.7786,87.7536,27.11,68,1,4.24,IN,1711923513
5,chonchi,-42.6128,-73.8092,10.56,73,27,0.86,CL,1711923395
6,savanna-la-mar,18.219,-78.1332,29.96,68,59,1.47,JM,1711923514
7,lubang,13.8584,120.124,27.07,84,64,7.12,PH,1711923514
8,mejit,10.2753,170.8646,27.11,79,54,8.88,MH,1711923514
9,ushtobe,45.2514,77.9838,3.05,65,8,3.03,KZ,1711923514
10,tiszafoldvar,46.9833,20.25,18.39,54,0,3.09,HU,1711923514
11,yellowknife,62.456,-114.3525,-0.33,61,100,8.49,CA,1711923431
12,adamstown,-25.066,-130.1015,23.28,69,100,12.4,PN,1711923423
13,thompson,55.7435,-97.8558,-5.31,80,100,0.93,CA,1711923436
14,port-aux-francais,-49.35,70.2167,4.33,92,100,4.84,TF,1711923427
15,bethel,41.3712,-73.414,14.47,38,100,3.68,US,1711923399
16,olonkinbyen,70.9221,-8.7187,-9.17,73,100,10.89,SJ,1711923422
17,albany,42.6001,-73.9662,11.23,49,64,0.89,US,1711923268
18,port elizabeth,-33.918,25.5701,21.29,69,70,4.47,ZA,1711923248
19,zinjibar,13.1287,45.3807,26.79,80,87,8.49,YE,1711923516
20,novyy turtkul',41.55,61.0167,6.95,28,100,3.59,UZ,1711923516
21,alexandria,31.2156,29.9553,19.09,77,48,4.51,EG,1711923302
22,sidmouth,50.6909,-3.2397,8.88,94,75,4.12,GB,1711923516
23,keflavik,64.0049,-22.5624,-2.76,63,100,12.35,IS,1711923457
24,iqaluit,63.7506,-68.5145,0.39,80,100,10.73,CA,1711923420
25,enewetak,11.3474,162.3373,27.32,80,95,8.68,MH,1711923436
26,sovetskiy,61.3614,63.5842,-1.17,87,100,4.47,RU,1711923516
27,poronaysk,49.2167,143.1167,0.19,77,77,3.08,RU,1711923416
28,egilsstadir,65.2653,-14.3948,-4.11,84,100,8.9,IS,1711923442
29,puerto baquerizo moreno,-0.9,-89.6,28.55,74,20,3.09,EC,1711923517
30,hawaiian paradise park,19.5933,-154.9731,25.49,76,75,4.63,US,1711923421
31,waitangi,-43.9535,-176.5597,14.9,96,99,1.34,NZ,1711923421
32,ribeira grande,38.5167,-28.7,15.43,77,100,4.92,PT,1711923423
33,hermanus,-34.4187,19.2345,18.22,79,98,7.0,ZA,1711923434
34,east london,-33.0153,27.9116,24.9,72,76,5.72,ZA,1711923517
